experimental frequency under nntm distribution	expected frequency under uniform distribution
0	0.000000000000000
0	4.88733347086874e-595
0	2.61840994011269e-294
0	1.27608566556733e-177
0	1.07690016115123e-118
0	1.58613896911809e-84
0	6.98882986215866e-63
0	2.73285782041005e-48
0	5.54292637639211e-38
0	1.96336995365340e-30
0	9.67141080343831e-25
0	2.40722631552479e-20
0	6.99191817345004e-17
0	4.15764934622471e-14
0	7.46340113153343e-12
0	5.32493669962674e-10
0	1.84318296363794e-8
0	3.58819910466777e-7
0	4.39324003825620e-6
0	0.0000368695275641791
0	0.000226841846127770
0	0.00107905597702812
0	0.00414078567420095
0	0.0132653353657996
0	0.0364791006504292
0	0.0880973022190341
0	0.190386649646684
0	0.373970393047707
0	0.676418196272579
0	1.13896910754970
0	1.80188196669273
0	2.69928157498883
0	3.85446373423847
0	5.27645529368588
0	6.95829665630682
0	8.87714555091314
2	10.9959893137237
1	13.2665506603653
1	15.6328883912931
1	18.0352099522698
1	20.4134942503163
2	22.7106367310289
6	24.8749470228934
8	26.8619341681197
4	28.6353960925855
5	30.1678858909910
9	31.4406596148188
10	32.4432228717036
8	33.1725918360488
13	33.6323732013213
7	33.8317513897541
12	33.7844532159870
20	33.5077424427017
20	33.0214806791565
17	32.3472775874174
19	31.5077426069633
16	30.5258422836929
20	29.4243614944790
22	28.2254630004110
30	26.9503374278835
18	25.6189345807426
24	24.2497665956239
33	22.8597735965169
25	21.4642429769217
28	20.0767740891946
19	18.7092808488692
25	17.3720255021138
29	16.0736775196385
28	14.8213922517274
30	13.6209046001246
26	12.4766335336530
34	11.3917937994761
26	10.3685116656411
16	9.40794197751202
14	8.51038422450433
23	7.67539569667178
14	6.90190016461682
20	6.18829084158632
20	5.53252668363161
21	4.93222135228670
24	4.38472440426617
17	3.88719448428235
16	3.43666448057936
18	3.03009875886603
14	2.66444272003458
16	2.33666503174923
9	2.04379296534194
10	1.78294132936507
9	1.55133553169988
7	1.34632932549387
12	1.16541780263339
10	1.00624619417212
11	0.866615022293116
9	0.744482125036241
10	0.637962045092566
9	0.545323239205418
9	0.464983526698876
5	0.395504155761875
3	0.335582825541604
1	0.284045961845651
2	0.239840505138149
7	0.202025432190233
3	0.169763197700987
6	0.142311249791922
4	0.119013743720856
3	0.0992935515768942
1	0.0826446421327068
1	0.0686248843943205
7	0.0568493105929958
2	0.0469838592536732
2	0.0387396063617548
1	0.0318674823244180
2	0.0261534641613461
1	0.0214142259353051
1	0.0174932256199902
0	0.0142572031829202
2	0.0115930624280432
2	0.00940510790349808
0	0.00761260775815833
1	0.00614765366689250
2	0.00495328969731850
0	0.00398188313613235
1	0.00319371172374757
0	0.00255574337092678
0	0.00204058617417074
0	0.00162558834531576
0	0.00129206947477591
0	0.00102466631767806
0	0.000810777997744418
0	0.000640097143253230
0	0.000504214987681879
0	0.000396289875332582
0	0.000310769904630778
0	0.000243161617855325
0	0.000189837707684756
0	0.000147877662184440
1	0.000114936116354106
0	0.0000891344268154471
0	0.0000689716440144611
0	0.0000532516311341050
0	0.0000410235785077360
0	0.0000315335942950039
0	0.0000241854238344714
0	0.0000185086683228893
0	0.0000141331447173787
0	0.0000107682589267327
0	8.18645883255793e-6
0	6.20999730979281e-6
0	4.70037253227781e-6
0	3.54992729314715e-6
0	2.67518422108775e-6
0	2.01157258496014e-6
0	1.50926741492711e-6
0	1.12991514098468e-6
0	8.44063758589636e-7
0	6.29151296623040e-7
0	4.67935461250543e-7
0	3.47270922819711e-7
0	2.57159779134802e-7
0	1.90016085193790e-7
0	1.40097668186152e-7
0	1.03068312474027e-7
0	7.56612692997984e-8
0	5.54213041389267e-8
0	4.05074556060030e-8
0	2.95426004117349e-8
0	2.14990078148983e-8
0	1.56114933867976e-8
0	1.13116821313490e-8
0	8.17837476544499e-9
0	5.90016613240519e-9
0	4.24736144491344e-9
0	3.05093014093262e-9
0	2.18677283470170e-9
0	1.56398911997204e-9
0	1.11615037205930e-9
0	7.94823816713755e-10
0	5.64778902566479e-10
0	4.00447623584357e-10
0	2.83317146773053e-10
0	2.00013859272565e-10
1	1.40898901576551e-10
0	9.90411323585395e-11
0	6.94679097207486e-11
0	4.86198563125945e-11
0	3.39550259380469e-11
0	2.36622237571089e-11
0	1.64538779020489e-11
0	1.14167456188959e-11
0	7.90456230416898e-12
0	5.46103393032854e-12
0	3.76472757971948e-12
0	2.58972677249680e-12
0	1.77760848886543e-12
0	1.21753126155961e-12
0	8.32120099182081e-13
0	5.67484271267366e-13
0	3.86174508232796e-13
0	2.62225760900858e-13
0	1.77676135114874e-13
0	1.20128164240994e-13
0	8.10443187394109e-14
0	5.45584839251521e-14
0	3.66491556598171e-14
0	2.45656119970037e-14
0	1.64305878287600e-14
0	1.09658037588245e-14
0	7.30280395248621e-15
0	4.85289125401182e-15
0	3.21790453790432e-15
0	2.12915539078117e-15
0	1.40573379399315e-15
0	9.26105043528557e-16
0	6.08805763541062e-16
0	3.99354425218569e-16
0	2.61396265397920e-16
0	1.70726631483061e-16
0	1.11266405519923e-16
0	7.23581758726989e-17
0	4.69539130079218e-17
0	3.04030014263036e-17
0	1.96436174747886e-17
0	1.26644595792948e-17
0	8.14726571532737e-18
0	5.22994301615111e-18
0	3.34997617462899e-18
0	2.14114454044006e-18
0	1.36555618855392e-18
0	8.69025048124762e-19
0	5.51840979994292e-19
0	3.49666747685550e-19
0	2.21081928324510e-19
0	1.39479526434148e-19
0	8.78063199089365e-20
0	5.51567862220860e-20
0	3.45724189946296e-20
0	2.16231012801917e-20
0	1.34947038110090e-20
0	8.40360526391496e-21
0	5.22185241887144e-21
0	3.23772491503063e-21
0	2.00314064674839e-21
0	1.23662725793836e-21
0	7.61766358925262e-22
0	4.68230920013208e-22
0	2.87179498044835e-22
0	1.75752507658566e-22
0	1.07325789416246e-22
0	6.53974505912737e-23
0	3.97622918533072e-23
0	2.41232354241155e-23
0	1.46033651994616e-23
0	8.82111054600657e-24
0	5.31674938374074e-24
0	3.19757981775445e-24
0	1.91888323243347e-24
0	1.14901927809756e-24
0	6.86526579522128e-25
0	4.09296777479071e-25
0	2.43483689414234e-25
0	1.44527885091651e-25
0	8.56018771139866e-26
0	5.05899712480709e-26
0	2.98328478634767e-26
0	1.75539056055933e-26
0	1.03062623178134e-26
0	6.03777094007623e-27
0	3.52939036514912e-27
0	2.05859062878586e-27
0	1.19808360694266e-27
0	6.95745972343476e-28
0	4.03144105254973e-28
0	2.33085661477211e-28
0	1.34467095014980e-28
0	7.74036234843425e-29
0	4.44581048688119e-29
0	2.54791280479943e-29
0	1.45700724077782e-29
0	8.31346283496104e-30
0	4.73309120951137e-30
0	2.68874745015771e-30
0	1.52404197500565e-30
0	8.61956155620796e-31
0	4.86423221419650e-31
0	2.73894835617180e-31
0	1.53883957274548e-31
0	8.62665324867126e-32
0	4.82536712594286e-32
0	2.69312759950164e-32
0	1.49975933081077e-32
0	8.33343026128338e-33
0	4.62022518525373e-33
0	2.55587197640194e-33
0	1.41075361151988e-33
0	7.76960372330483e-34
0	4.26954591833140e-34
0	2.34098765993426e-34
0	1.28070960343468e-34
0	6.99094362386881e-35
0	3.80762358273443e-35
0	2.06921095223695e-35
0	1.12198630377328e-35
0	6.07018377064659e-36
0	3.27677850429248e-36
0	1.76491078895238e-36
0	9.48480296671294e-37
0	5.08584601483357e-37
0	2.72098964103599e-37
0	1.45250890835574e-37
0	7.73639076789995e-38
0	4.11135622062032e-38
0	2.18000940027390e-38
0	1.15334066929198e-38
0	6.08810668531438e-39
0	3.20650360352619e-39
0	1.68502155040274e-39
0	8.83492467123054e-40
0	4.62192950620350e-40
0	2.41249413229878e-40
0	1.25640917508599e-40
0	6.52855725184399e-41
0	3.38472987129670e-41
0	1.75085782771743e-41
0	9.03643664661575e-42
0	4.65331417586095e-42
0	2.39081385499657e-42
0	1.22559434578341e-42
0	6.26851546170517e-43
0	3.19888766825322e-43
0	1.62872955538595e-43
0	8.27397156068710e-44
0	4.19366258624616e-44
0	2.12073650866909e-44
0	1.07002285749512e-44
0	5.38656438763506e-45
0	2.70546832781372e-45
0	1.35576427817703e-45
0	6.77854347405530e-46
0	3.38141425100145e-46
0	1.68294332038095e-46
0	8.35697376498728e-47
0	4.14034320012019e-47
0	2.04658935743377e-47
0	1.00932598656466e-47
0	4.96635633242910e-48
0	2.43808743629905e-48
0	1.19416668362914e-48
0	5.83558219578904e-49
0	2.84515731610371e-49
0	1.38398223846810e-49
0	6.71670332683797e-50
0	3.25223941748013e-50
0	1.57111804742667e-50
0	7.57241415019507e-51
0	3.64131622005508e-51
0	1.74694884850795e-51
0	8.36178493241194e-52
0	3.99313561555177e-52
0	1.90249987346333e-52
0	9.04336304336624e-53
0	4.28873573732047e-53
0	2.02918589195837e-53
0	9.57870589271624e-54
0	4.51111114065911e-54
0	2.11958638503532e-54
0	9.93593723914969e-55
0	4.64682049507473e-55
0	2.16816086263079e-55
0	1.00928741706514e-55
1	4.68732613581485e-56
0	2.17180904396982e-56
0	1.00393003574131e-56
0	4.62988060854117e-57
0	2.13019742038072e-57
0	9.77806264587107e-58
0	4.47783256750174e-58
0	2.04580451122965e-58
0	9.32482792925379e-59
0	4.24030501422650e-59
0	1.92367678255081e-59
0	8.70652795303743e-60
0	3.93128865793008e-60
0	1.77092860577846e-60
0	7.95870668456615e-61
0	3.56827575008485e-61
0	1.59605522229261e-61
0	7.12213403071326e-62
0	3.17062017426966e-62
0	1.40815110938790e-62
0	6.23913504755990e-63
0	2.75783768881778e-63
0	1.21613368042324e-63
0	5.35009297223207e-64
0	2.34805268751424e-64
0	1.02806348593332e-64
0	4.49052074454715e-65
0	1.95675854332005e-65
0	8.50629828970791e-66
0	3.68897650456361e-66
0	1.59599729737494e-66
0	6.88840161874878e-67
0	2.96595033861678e-67
0	1.27399420282451e-67
0	5.45919039978017e-68
0	2.33370141824481e-68
0	9.95216664464575e-69
0	4.23393636381725e-69
0	1.79690196097789e-69
0	7.60776056672856e-70
0	3.21322182943204e-70
0	1.35386393338463e-70
0	5.69060943263629e-71
0	2.38611295406738e-71
0	9.98092241136855e-72
0	4.16482560733013e-72
0	1.73367791422068e-72
0	7.19920358564653e-73
0	2.98224912841208e-73
0	1.23238326208399e-73
