experimental frequency under nntm distribution	expected frequency under uniform distribution
0	4.88733347086874e-595
0	2.44122306869894e-589
0	4.05650713656496e-584
0	3.36354078327080e-579
0	1.67001818013865e-574
0	5.51673805627002e-570
0	1.29909986661732e-565
0	2.28976094740302e-561
0	3.13269827750698e-557
0	3.42185329007261e-553
0	3.05195094941576e-549
0	2.26378461672914e-545
0	1.41795922443191e-541
0	7.59742552450616e-538
0	3.52079893656664e-534
0	1.42476463965954e-530
0	5.07698117405739e-527
0	1.60484370398459e-523
0	4.52972297227645e-520
0	1.14833483883125e-516
0	2.62853844608473e-513
0	5.45859817303595e-510
0	1.03288543951608e-506
0	1.78791346878668e-503
0	2.84144743998080e-500
0	4.15987905213189e-497
0	5.62739193996730e-494
0	7.05435264059642e-491
0	8.21637479798018e-488
0	8.91346336877157e-485
0	9.02722983133858e-482
0	8.55339126549403e-479
0	7.59754979157507e-476
0	6.33844212807718e-473
0	4.97552793072581e-470
0	3.68106141408198e-467
0	2.57082897227019e-464
0	1.69742731257862e-461
0	1.06107074692085e-458
0	6.28808209137747e-456
0	3.53727622818366e-453
0	1.89114865662892e-450
0	9.62037583674105e-448
0	4.66174328191291e-445
0	2.15403617912922e-442
0	9.50044420686666e-440
0	4.00350125048567e-437
0	1.61340035633601e-434
0	6.22349980309518e-432
0	2.29977877295177e-429
0	8.14798091146382e-427
0	2.76991409906871e-424
0	9.04194034490334e-422
0	2.83628797913314e-419
0	8.55529502209485e-417
0	2.48317438016303e-414
0	6.93981892561352e-412
0	1.86865435239859e-409
0	4.85077987481527e-407
0	1.21464350231455e-404
0	2.93552121185058e-402
0	6.85105011330521e-400
0	1.54487496694756e-397
0	3.36755922048615e-395
0	7.09965672658993e-393
0	1.44832997222435e-390
0	2.86027155459927e-388
0	5.47081553698860e-386
0	1.01389183185884e-383
0	1.82141994072310e-381
0	3.17311876715550e-379
0	5.36283141873892e-377
0	8.79634954351569e-375
0	1.40079831042329e-372
0	2.16657310137653e-370
0	3.25575121049837e-368
0	4.75511032059630e-366
0	6.75225665524675e-364
0	9.32523681784309e-362
0	1.25294885232805e-359
0	1.63834663820155e-357
0	2.08550032470136e-355
0	2.58509501165399e-353
0	3.12126863364946e-351
0	3.67195834277843e-349
0	4.21014386513860e-347
0	4.70594148069241e-345
0	5.12934098575126e-343
0	5.45323869743578e-341
0	5.65633609671406e-339
0	5.72546909345168e-337
0	5.65701239776910e-335
0	5.45715245064455e-333
0	5.14100965870856e-331
0	4.73077666177659e-329
0	4.25318608365184e-327
0	3.73670167392315e-325
0	3.20883065100311e-323
0	2.69388973224690e-321
0	2.21144401330961e-319
0	1.77550490137898e-317
0	1.39444866599275e-315
0	1.07152217490318e-313
0	8.05748264579499e-312
0	5.93030722730511e-310
0	4.27280500603820e-308
0	3.01428272745666e-306
0	2.08240611042160e-304
0	1.40906649821015e-302
0	9.34017180079632e-301
0	6.06606292900366e-299
0	3.86062552289011e-297
0	2.40810787593725e-295
0	1.47241159534951e-293
0	8.82640556351228e-292
0	5.18806061949446e-290
0	2.99058896629480e-288
0	1.69083732478536e-286
0	9.37782547761561e-285
0	5.10291615180489e-283
0	2.72464795741825e-281
0	1.42769928737445e-279
0	7.34268997349514e-278
0	3.70699930221027e-276
0	1.83736105027203e-274
0	8.94182377799053e-273
0	4.27337816161621e-271
0	2.00578007140102e-269
0	9.24728751232105e-268
0	4.18808934589027e-266
0	1.86353990818278e-264
0	8.14765253749379e-263
0	3.50063176567058e-261
0	1.47818507409156e-259
0	6.13517895909108e-258
0	2.50315969851064e-256
0	1.00405830414283e-254
0	3.95989633679585e-253
0	1.53570568466294e-251
0	5.85700470942709e-250
0	2.19699985164254e-248
0	8.10614159625618e-247
0	2.94218688641580e-245
0	1.05060590069098e-243
0	3.69116898419394e-242
0	1.27609483049214e-240
0	4.34146939884654e-239
0	1.45366587664210e-237
0	4.79076908146610e-236
0	1.55416407340276e-234
0	4.96337564015843e-233
0	1.56056989836194e-231
0	4.83116365439232e-230
0	1.47271550876378e-228
0	4.42099694340506e-227
0	1.30704635439701e-225
0	3.80597468164650e-224
0	1.09163933652908e-222
0	3.08435694174174e-221
0	8.58530269772030e-220
0	2.35442594634221e-218
0	6.36187880509215e-217
0	1.69390383777997e-215
0	4.44453956023455e-214
0	1.14929288823431e-212
0	2.92908139306624e-211
0	7.35799361993145e-210
0	1.82198461777375e-208
0	4.44751116954001e-207
0	1.07030060651953e-205
0	2.53945110882255e-204
0	5.94084089639444e-203
0	1.37043435991931e-201
0	3.11744452382203e-200
0	6.99353888049877e-199
0	1.54732047731035e-197
0	3.37656799074081e-196
0	7.26790559276602e-195
0	1.54314912464370e-193
0	3.23219337230074e-192
0	6.67887422375785e-191
0	1.36160474506445e-189
0	2.73883446261324e-188
0	5.43590967085769e-187
0	1.06462067335195e-185
0	2.05758597095606e-184
0	3.92451011727894e-183
0	7.38755875080524e-182
0	1.37254903599476e-180
0	2.51703553821137e-179
0	4.55625741363028e-178
0	8.14155192129633e-177
0	1.43617889882816e-175
0	2.50111924591179e-174
0	4.30037801889864e-173
0	7.30040363684459e-172
0	1.22370435145513e-170
0	2.02542740540340e-169
0	3.31045987930619e-168
0	5.34333177735189e-167
0	8.51743035554003e-166
0	1.34090475426363e-164
0	2.08497184101838e-163
0	3.20210229092712e-162
0	4.85760908319382e-161
0	7.27916689563512e-160
0	1.07753588469860e-158
0	1.57576609418756e-157
0	2.27656733081307e-156
0	3.24950031640266e-155
0	4.58266813973563e-154
0	6.38563640833993e-153
0	8.79208631284879e-152
0	1.19618820574592e-150
0	1.60821667612850e-149
0	2.13670493397512e-148
0	2.80554208176662e-147
0	3.64064543359878e-146
0	4.66924100972966e-145
0	5.91884930005045e-144
0	7.41597000535733e-143
0	9.18448431506099e-142
0	1.12438228355240e-140
0	1.36069794342794e-139
0	1.62784830632096e-138
0	1.92524674812473e-137
0	2.25109988277771e-136
0	2.60228294703159e-135
0	2.97427404109933e-134
0	3.36116119337538e-133
0	3.75573228998901e-132
0	4.14965248707119e-131
0	4.53372717486375e-130
0	4.89824143413034e-129
