experimental frequency under nntm distribution	expected frequency under uniform distribution
420	250.375187593797
293	250.375187593797
154	187.687358952386
78	124.999530310974
29	78.0072256827884
13	46.7104450678282
5	27.1794009685523
5	15.4843058874196
2	8.67929953307901
0	4.80244882036924
1	2.62939505549628
0	1.42700112121044
0	0.768679852408441
0	0.411403602160502
0	0.218951395320397
0	0.115950066876662
0	0.0611325239130357
0	0.0321030117563143
0	0.0167978572367859
0	0.00876060497038116
0	0.00455516044190107
0	0.00236191067450684
0	0.00122152063991256
0	0.000630219502831142
0	0.000324416790486917
0	0.000166645706967444
0	0.0000854311825379124
0	0.0000437136041068080
0	0.0000223273007277434
0	0.0000113844612322627
0	5.79534026162415e-6
0	2.94554666326451e-6
0	1.49486118790229e-6
0	7.57545641601952e-7
0	3.83365037308217e-7
0	1.93746019727778e-7
0	9.77887166985112e-8
0	4.92944361636681e-8
0	2.48185492899501e-8
0	1.24807042740147e-8
0	6.26902144238409e-9
0	3.14536542584950e-9
0	1.57639466813203e-9
0	7.89209429372992e-10
0	3.94696461888237e-10
0	1.97191124425682e-10
0	9.84177701751903e-11
0	4.90715739328338e-11
0	2.44435629251968e-11
0	1.21642220522565e-11
0	6.04778407831531e-12
0	3.00404687257624e-12
0	1.49080766332544e-12
0	7.39173944493166e-13
0	3.66173667828044e-13
0	1.81237471955294e-13
0	8.96260007625403e-14
0	4.42842835718863e-14
0	2.18624590271482e-14
0	1.07841554837742e-14
0	5.31514075502501e-15
0	2.61751056925380e-15
0	1.28798415890456e-15
0	6.33263102134893e-16
0	3.11108907734875e-16
0	1.52720791474975e-16
0	7.49107345225744e-17
0	3.67157739335173e-17
0	1.79815242796831e-17
0	8.79969916127467e-18
0	4.30307439546002e-18
0	2.10262433641758e-18
0	1.02664030910362e-18
0	5.00899528612712e-19
0	2.44208299488613e-19
0	1.18973274109837e-19
0	5.79187570570016e-20
0	2.81754868140720e-20
0	1.36964328712568e-20
0	6.65317229663899e-21
0	3.22951015858219e-21
0	1.56650720613317e-21
0	7.59306653333527e-22
0	3.67783490284572e-22
0	1.78015806002467e-22
