root degree,,,,,,
,# iterations,"1,000","10,000","100,000","500,000","1,000,000"
,shrink factor estimate (with transformed values),3.22,1.08,1.03,1,1
,shrink factor estimate  (with untransformed values),2.01,1.07,1.02,1,1
,shrink factor upper confidence limit (with transformed values),10.1,1.21,1.08,1.01,1
,shrink factor upper confidence limit (with untransformed values),8.56,1.18,1.06,1,1
,mean of effective sample size,31,47,431,1886,3624
,standard deviation of effective sample size,50,29,239,797,1424
,mean of KS statistic using above sample size,0.5,0.12,0.07,0.02,0.02
,mean of p-value for KS using above sample size,0,0.53,0.03,0.21,0.14
,,,,,,
number of leaves,,,,,,
,# iterations,"1,000","10,000","100,000","500,000","1,000,000"
,shrink factor (estimate and upper confidence limit) (with transformed values),"7, 13.7","1.1, 1.27","1.06, 1.15","1, 1","1, 1"
,shrink factor (estimate and upper confidence limit) (with untransformed values),"6.53, 13.1","1.1, 1.27","1.05, 1.15","1, 1","1, 1"
,,,,,,
,,,,,,
,mean of effective sample size,1.8,9,97,478,958
,standard deviation of effective sample size,0.2,1.6,9.6,33,49
,mean of KS statistic using above sample size,0.43,0.12,0.05,0.06,0.03
,mean of p-value for KS using above sample size,0.68,0.98,0.94,0.1,0.28
,,,,,,
height,,,,,,
,# iterations,"1,000","10,000","100,000","500,000","1,000,000"
,shrink factor (estimate and upper confidence limit) (with transformed values),"9.3, 19.4","1.08, 1.21","1.02, 1.07","1, 1","1, 1"
,shrink factor (estimate and upper confidence limit) (with untransformed values),"7.22, 23.6","1.08, 1.22","1.03, 1.07","1, 1","1, 1"
,,,,,,
,,,,,,
,mean of effective sample size,2.5,12.3,99,529,1062
,standard deviation of effective sample size,1.1,7.8,44,164,228
,mean of KS statistic using above sample size,0.46,0.2,0.07,0.04,0.04
,mean of p-value for KS using above sample size,0.6,0.51,0.68,0.34,0.03
